termino,total_count,doc_freq,rel_freq
privacy,29,25,0.05311355311355311
transparency,18,15,0.03296703296703297
machine learning,17,16,0.031135531135531136
ai literacy,13,9,0.023809523809523808
ethics,12,10,0.02197802197802198
training data,9,7,0.016483516483516484
generative models,9,6,0.016483516483516484
personalization,8,7,0.014652014652014652
prompting,6,6,0.01098901098901099
co-creation,6,3,0.01098901098901099
explainability,2,2,0.003663003663003663
fine-tuning,1,1,0.0018315018315018315
human-ai interaction,1,1,0.0018315018315018315
multimodality,0,0,0.0
algorithmic bias,0,0,0.0
