termino,score_tfidf,doc_freq,sim_a_semillas,precisa
background,45.67115312592688,51,0.2395876944065094,no
generative,24.48905991192876,408,0.3301827311515808,no
genai,22.918853930825648,115,0.16897061467170715,no
purpose,22.381511377852977,32,0.2454279512166977,no
artificial,21.356281978241395,386,0.28754228353500366,no
intelligence,21.225745483709595,387,0.3198840618133545,no
generative artificial,21.037365590830632,359,0.30226564407348633,no
artificial intelligence,21.00135087328879,386,0.4041001796722412,no
ai,20.630110463777246,188,0.3998870849609375,no
abstract,13.841664720644514,18,0.2531377077102661,no
gai,11.127672799406803,50,0.17673641443252563,no
research,10.930326991581369,144,0.2937520742416382,no
data,10.221876223767348,122,0.3157922923564911,no
use,10.02933609384601,126,0.22100910544395447,no
introduction,9.691525422407414,17,0.2864501178264618,no
