doc_idx,title,cluster
0,A generative artificial intelligence-enhanced multiagent approach to empowering collaborative problem solving across different learning domains,7
1,A systematic literature review on designing self-regulated learning using generative artificial intelligence and its future research directions,7
2,Authenticity and academic integrity in Generative Artificial Intelligence (GenAI) use among undergraduate nursing students,1
3,Chapter 16 - Generative artificial intelligence for research translation in environmental toxicology and the ethical considerations∗,7
4,Chapter 2 - The role of Artificial Intelligence (AI) and Generative Artificial Intelligence (Gen AI) in digital healthcare,7
5,Chapter 4 - Applications of artificial intelligence and generative artificial intelligence in digital healthcare ecosystem,7
6,Chapter 6 - Enhancing healthcare services with artificial intelligence and generative artificial intelligence technologies,7
7,Chapter 7 - Generative artificial intelligence and natural language processing in behavior analysis,7
8,Development and validation of the generative artificial intelligence appropriation (GAIA) Scale: A comprehensive measurement tool for assessing user engagement and utilisation,7
9,Empathy order effects on shaping GenAI online complaint management in tourism,7
10,Fostering undergraduates’ critical thinking in digital multimodal composition with generative artificial intelligence,7
11,"Generative AI and employee well-being: Exploring the emotional, social, and cognitive impacts of adoption",7
12,Generative artificial intelligence and large language models in smart healthcare applications: Current status and future perspectives,7
13,Generative artificial intelligence in otorhinolaryngology: From innovation to public health transformation,7
14,Generative artificial intelligence method for vibration data of rolling bearing with multi-domain joint loss and interpretable physical laws,7
15,How lack of choice to opt-out of generative artificial intelligence in traditional search engines drives consumer switching intentions: The mechanism of empowerment,7
16,Prevalence and Characteristics of Generative Artificial Intelligence Policies in Vascular Surgery Journals: A Cross-Sectional Review,1
17,The double-edged impact of generative artificial intelligence dependence on service innovation in the hospitality industry: A self-regulation perspective,7
18,The effects of generative artificial intelligence on consumers in hospitality and tourism: A systematic review and future research directions,7
19,1299: GENERATIVE ARTIFICIAL INTELLIGENCE FOR DYNAMIC RISK ASSESSMENT TO PREDICT TRAJECTORIES IN PATIENTS WITH ACUTE GASTROINTESTINAL BLEEDING IN THE INTENSIVE CARE UNIT,7
20,1345 A Generative Artificial Intelligence Framework for Automated Pathologic Diagnosis of Gastric Endoscopic Biopsy Samples,7
21,1376 Virtual H&E Staining Using Generative Artificial Intelligence: A Novel Technique for Digital Transformation of Unstained Pathology Slides,7
22,344 - Shaping an Generative Artificial Intelligence Model for Enhancing Early Recognition of Out-of-hospital Cardiac Arrest by Emergency Medical Dispatch Audios and Performance Measurement,7
23,71361968-2414 - Is Generative-Artificial Intelligence (AI) able to diagnose and classify facial trauma as an Oral Surgeon?,7
24,71361968-2415 - Is the use of Generative-Artificial Intelligence suitable for diagnosing Maxillofacial Pathologies?,7
25,"742: RANDOMIZED CONTROLLED TRIAL EVALUATING THE EFFICACY OF HUMAN-GENERATIVE ARTIFICIAL INTELLIGENCE TEAMING ON TECHNOLOGY ACCEPTANCE, USABILITY, AND TRUST: THE GUT-GPT SIMULATION STUDY",7
26,A 3D preform design method based on a generative artificial intelligence algorithm,7
27,A case study of teachers’ generative artificial intelligence integration processes and factors influencing them,7
28,A classification framework for generative artificial intelligence for social good,7
29,A comparative analysis of generative artificial intelligence responses from leading chatbots to questions about endometriosis,4
30,A friend or a foe? The effect of generative artificial intelligence on creator contributions on original work sharing platforms,7
31,A generative AI educational game framework with multi-scaffolding supports workplace competency development,7
32,A generative artificial intelligence approach to modular skeletal framework modeling: Bamboo stilt houses as a case study,7
33,A generative artificial intelligence approach to tracking mainland China's housing market sentiment using social media data,7
34,A generative artificial intelligence model for efficient gas sensitivity prediction in materials without parameters from first principle calculation,7
35,A Hands-Free Approach With Voice to Text and Generative Artificial Intelligence: Streamlining Radiology Reporting,7
36,A methodological exploration of generative artificial intelligence (AI) for efficient qualitative analysis on hotel guests’ delightful experiences,7
37,A model for generative artificial intelligence in customer decision-making process using social interaction,7
38,A NOVEL WEB APPLICATION UTILIZING GENERATIVE ARTIFICIAL INTELLIGENCE TO ENHANCE ENDOSCOPY EDUCATION FOR GASTROENTEROLOGY FELLOWS,7
39,A rapidly structured aircraft concept design method based on generative artificial intelligence,7
40,A scoping literature review of generative artificial intelligence for supporting neurodivergent school students,7
41,A social-environmental impact perspective of generative artificial intelligence,7
42,"A study of developing administrative Staff's conceptual understanding of generative artificial intelligence through professional Development: Evaluation of a course using tests, surveys and thematic analysis of reflective writings",7
43,A study on international scientific journal cover design driven by generative artificial intelligence,7
44,A systematic examination of generative artificial intelligence (GenAI) use guidelines in applied linguistics journals,7
45,A systematic literature review of generative artificial intelligence (GenAI) literacy in schools,7
46,"A systematic literature review on the application of generative artificial intelligence (GAI) in teaching within higher education: Instructional contexts, process, and strategies",7
47,A systematic review and meta-analysis of the effectiveness of Generative Artificial Intelligence (GenAI) on students’ motivation and engagement,7
48,A Taxonomy of Generative Artificial Intelligence in Health Economics and Outcomes Research: An ISPOR Working Group Report,6
49,A0902 – Evaluation of the quality of the responses regarding Lower Urinary Tract Symptoms (LUTS) of different generative Artificial Intelligence (AI) App in comparison with UrologuIA (generative AI App developed by urologists and urogynecologists),7
50,ABS0885 COMPLEMENT CONSUMPTION PATTERNS AS AN EARLY PREDICTOR OF SYSTEMIC SJÖGREN DISEASE: GENERATIVE ARTIFICIAL INTELLIGENCE-ASSISTED ANALYSIS USING STRATIFIED CROSS-VALIDATION GENERALIZABILITY MODELS,1
51,Accurate prediction of the kinetic sequence of physicochemical states using generative artificial intelligence††Electronic supplementary information (ESI) available. See DOI: https://doi.org/10.1039/d5sc00108k,7
