country,count
Afghanistan,20
Liechtenstein,18
Cocos (Keeling) Islands,9
Andorra,9
United States Minor Outlying Islands,8
Aruba,7
Hungary,6
"Bolivia, Plurinational State of",6
French Southern Territories,6
Saint Martin (French part),6
Luxembourg,5
Belgium,5
Jordan,5
"Congo, The Democratic Republic of the",4
Hong Kong,4
Namibia,4
"Bonaire, Sint Eustatius and Saba",3
Honduras,3
Northern Mariana Islands,3
Yemen,3
Åland Islands,3
Christmas Island,3
Lithuania,3
Guyana,3
Heard Island and McDonald Islands,3
Argentina,2
"Saint Helena, Ascension and Tristan da Cunha",2
Azerbaijan,2
Angola,2
Latvia,2
Ecuador,2
Sao Tome and Principe,2
Pitcairn,2
Philippines,2
Morocco,2
Panama,2
Georgia,2
Macao,2
Timor-Leste,2
Costa Rica,2
Cook Islands,2
Denmark,2
American Samoa,1
Kenya,1
Guam,1
Greenland,1
Israel,1
Curaçao,1
Dominican Republic,1
Dominica,1
Comoros,1
Colombia,1
Burundi,1
Cayman Islands,1
Botswana,1
Nicaragua,1
Nigeria,1
Malawi,1
Romania,1
Oman,1
Niue,1
Marshall Islands,1
Mexico,1
Mauritania,1
San Marino,1
Saint Lucia,1
Suriname,1
Solomon Islands,1
Saint Pierre and Miquelon,1
Tonga,1
United Arab Emirates,1
Trinidad and Tobago,1
Wallis and Futuna,1
Vanuatu,1
